date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:38	2189/2189	---M--	200	added ('OK')	text/plain	date:Tue,%2020%20Apr%202021%2023:05:44%20GMT	https://lsetf.ng/robots.txt		(from )
09:26:38	37032/37032	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2007:08:21%20GMT	https://lsetf.ng/	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/index.html	(from )
09:26:38	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Sep%202023%2008:26:35%20GMT	https://lsetf.ng/content/home	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/content/home	(from https://lsetf.ng/)
09:26:38	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Sep%202023%2008:26:35%20GMT	https://lsetf.ng/node/10	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/node/10	(from https://lsetf.ng/)
09:26:40	20033/20033	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Mar%202021%2009:55:21%20GMT	https://lsetf.ng/sites/all/modules/calendar/css/calendar_multiday.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/calendar/css/calendar_multidayc6fe.css	(from https://lsetf.ng/)
09:26:41	167355/167355	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650448f6-28dbb%22	http://app-worker.visitor-analytics.io/main.js	C:/My%20Web%20Sites/Assignment%20webclone/app-worker.visitor-analytics.io/main.js	(from https://lsetf.ng/)
09:26:41	5159/5159	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2016:34:13%20GMT	https://lsetf.ng/sites/all/modules/ubercart/uc_order/uc_order.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/ubercart/uc_order/uc_orderc6fe.css	(from https://lsetf.ng/)
09:26:41	872/872	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2016:34:13%20GMT	https://lsetf.ng/sites/all/modules/ubercart/uc_product/uc_product.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/ubercart/uc_product/uc_productc6fe.css	(from https://lsetf.ng/)
09:26:41	1816/1816	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2016:34:13%20GMT	https://lsetf.ng/sites/all/modules/ubercart/uc_store/uc_store.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/ubercart/uc_store/uc_storec6fe.css	(from https://lsetf.ng/)
09:26:42	707/707	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Sep%202021%2009:54:52%20GMT	https://lsetf.ng/sites/all/modules/views/css/views.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/views/css/viewsc6fe.css	(from https://lsetf.ng/)
09:26:42	431/431	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2015:50:14%20GMT	https://lsetf.ng/sites/all/modules/ckeditor/css/ckeditor.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/ckeditor/css/ckeditorc6fe.css	(from https://lsetf.ng/)
09:26:42	369/369	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202022%2010:30:57%20GMT	https://lsetf.ng/sites/all/modules/media/modules/media_wysiwyg/css/media_wysiwyg.base.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/media/modules/media_wysiwyg/css/media_wysiwyg.basec6fe.css	(from https://lsetf.ng/)
09:26:42	4103/4103	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202022%2010:30:57%20GMT	https://lsetf.ng/sites/all/modules/colorbox/styles/default/colorbox_style.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/colorbox/styles/default/colorbox_stylec6fe.css	(from https://lsetf.ng/)
09:26:43	509/509	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2015:50:14%20GMT	https://lsetf.ng/sites/all/modules/ctools/css/ctools.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/ctools/css/ctoolsc6fe.css	(from https://lsetf.ng/)
09:26:43	4990/4990	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202016%2015:34:38%20GMT	https://lsetf.ng/sites/all/modules/lightbox2/css/lightbox.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/lightbox2/css/lightboxc6fe.css	(from https://lsetf.ng/)
09:26:43	3640/3640	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202016%2003:41:46%20GMT	https://lsetf.ng/sites/all/modules/popup/popup.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/popup/popupc6fe.css	(from https://lsetf.ng/)
09:26:43	918/918	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Jun%202020%2023:39:13%20GMT	https://lsetf.ng/sites/all/modules/addtoany/addtoany.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/modules/addtoany/addtoanyc6fe.css	(from https://lsetf.ng/)
09:26:44	35134/35134	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202016%2014:56:24%20GMT	https://lsetf.ng/sites/all/libraries/fontawesome/css/font-awesome.css?rz0jao	C:/My%20Web%20Sites/Assignment%20webclone/lsetf.ng/sites/all/libraries/fontawesome/css/font-awesomec6fe.css	(from https://lsetf.ng/)
